,발생지소재지,2018_male_count,2019_male_count,2020_male_count,male_count_mean,2018_female_count,2019_female_count,2020_female_count,female_count_mean,2018_노년,2018_장년,2018_중년,2018_청년,2018_소아청소년,2019_노년,2019_장년,2019_중년,2019_청년,2019_소아청소년,2020_노년,2020_장년,2020_중년,2020_청년,2020_소아청소년,노년_mean,장년_mean,중년_mean,청년_mean,소아청소년_mean,2018_arrest_count,2019_arrest_count,2020_arrest_count,arrest_count_mean,2018_비공공장소,2018_미상,2018_공공장소,2019_비공공장소,2019_미상,2019_공공장소,2020_비공공장소,2020_미상,2020_공공장소,비공공장소_mean,미상_mean,공공장소_mean,2018_AED_NO,2018_CPR,2018_CPR+AED,2019_AED_NO,2019_CPR,2019_CPR+AED,2020_AED_NO,2020_CPR,2020_CPR+AED,AED_NO_mean,CPR_mean,CPR+AED_mean
0,강남구,156,131,142,143.0,77,77,77,77.0,132,132,38,13,3.0,107,44,32,16,4.0,123,45,41,12,5.0,120.7,73.7,37.0,13.7,4.0,233,203,226,220.7,155,21,57,124,30,49,150,34,42,143.0,28.3,49.3,111,121,1.0,103,96,4.0,138,86,2.0,117.3,101.0,2.3
1,강동구,143,119,125,129.0,65,65,65,65.0,117,117,36,4,5.0,119,39,18,7,4.0,98,47,30,7,9.0,111.3,67.7,28.0,6.0,6.0,208,187,191,195.3,111,53,44,100,62,25,86,60,45,99.0,58.3,38.0,169,39,2.0,154,32,1.0,122,69,2.0,148.3,46.7,1.7
2,강북구,118,121,123,120.7,82,82,82,82.0,134,134,23,3,1.0,110,35,17,4,3.0,115,50,24,6,3.0,119.7,73.0,21.3,4.3,2.3,200,169,195,188.0,149,11,40,130,17,22,134,34,27,137.7,20.7,29.7,124,76,1.0,117,52,1.0,118,77,1.0,119.7,68.3,1.0
3,강서구,156,161,159,158.7,91,91,91,91.0,127,127,28,13,6.0,141,71,24,4,5.0,153,57,28,10,1.0,140.3,85.0,26.7,9.0,4.0,247,245,251,247.7,157,50,40,150,57,38,146,65,40,151.0,57.3,39.3,195,52,3.0,195,49,2.0,212,39,1.0,200.7,46.7,2.0
4,관악구,141,128,127,132.0,86,86,86,86.0,149,149,28,6,2.0,115,39,16,7,3.0,107,50,24,4,2.0,123.7,79.3,22.7,5.7,2.3,227,180,186,197.7,166,30,31,110,42,28,120,33,33,132.0,35.0,30.7,138,87,1.0,100,78,1.0,109,77,1.0,115.7,80.7,1.0
5,광진구,121,96,106,107.7,65,65,65,65.0,125,125,12,4,3.0,82,47,17,5,1.0,95,32,15,11,1.0,100.7,68.0,14.7,6.7,1.7,186,152,153,163.7,138,24,24,123,12,17,114,9,30,125.0,15.0,23.7,100,86,3.0,83,69,1.0,73,80,2.0,85.3,78.3,2.0
6,구로구,123,144,103,123.3,62,62,62,62.0,116,116,18,7,1.0,137,45,24,5,3.0,101,36,16,3,4.0,118.0,65.7,19.3,5.0,2.7,185,214,158,185.7,115,39,31,108,77,29,83,40,35,102.0,52.0,31.7,123,61,1.0,129,85,1.0,103,55,2.0,118.3,67.0,1.3
7,금천구,68,81,76,75.0,42,42,42,42.0,55,55,19,2,1.0,63,31,17,4,1.0,59,36,11,3,2.0,59.0,40.7,15.7,3.0,1.3,110,116,110,112.0,64,24,22,60,34,22,55,36,19,59.7,31.3,21.0,92,18,1.0,97,19,5.0,75,35,0.0,88.0,24.0,2.0
8,노원구,161,156,141,152.7,114,114,114,114.0,167,167,29,6,9.0,180,51,23,7,5.0,141,55,26,12,4.0,162.7,91.0,26.0,8.3,6.0,275,266,234,258.3,195,37,43,182,52,32,156,46,32,177.7,45.0,35.7,212,60,1.0,207,59,2.0,174,58,0.0,197.7,59.0,1.0
9,도봉구,127,107,97,110.3,69,69,69,69.0,130,130,14,3,6.0,128,37,12,3,4.0,101,41,19,7,1.0,119.7,69.3,15.0,4.3,3.7,196,184,172,184.0,158,9,29,157,12,15,126,23,23,147.0,14.7,22.3,119,76,3.0,122,61,1.0,111,61,0.0,117.3,66.0,1.3
10,동대문구,126,115,123,121.3,60,60,60,60.0,114,114,21,7,5.0,109,47,21,5,1.0,116,44,21,5,5.0,113.0,68.3,21.0,5.7,3.7,186,183,188,185.7,125,22,39,103,46,34,112,38,38,113.3,35.3,37.0,127,56,0.0,136,46,1.0,135,53,0.0,132.7,51.7,0.3
11,동작구,104,95,105,101.3,53,53,53,53.0,105,105,9,3,5.0,96,27,14,3,6.0,96,37,15,5,3.0,99.0,56.3,12.7,3.7,4.7,157,146,157,153.3,117,19,21,85,35,26,117,11,29,106.3,21.7,25.3,91,66,0.0,85,60,2.0,95,61,0.0,90.3,62.3,0.7
12,마포구,99,126,114,113.0,57,57,57,57.0,91,91,21,7,5.0,118,48,24,8,3.0,102,35,21,12,3.0,103.7,58.0,22.0,9.0,3.7,156,201,171,176.0,110,18,28,135,34,32,118,21,32,121.0,24.3,30.7,93,63,0.0,97,99,1.0,95,76,0.0,95.0,79.3,0.3
13,서대문구,94,84,91,89.7,75,75,75,75.0,114,114,15,2,5.0,91,23,15,5,4.0,85,34,26,2,6.0,96.7,57.0,18.7,3.0,5.0,169,134,152,151.7,140,7,22,90,21,23,117,15,20,115.7,14.3,21.7,93,76,0.0,75,57,0.0,92,59,0.0,86.7,64.0,0.0
14,서초구,118,120,108,115.3,53,53,53,53.0,103,103,25,6,2.0,98,43,26,10,5.0,92,37,25,4,2.0,97.7,61.0,25.3,6.7,3.0,171,181,161,171.0,103,21,47,28,137,16,101,19,41,77.3,59.0,34.7,89,81,0.0,105,76,0.0,93,67,0.0,95.7,74.7,0.0
15,성동구,94,92,100,95.3,55,55,55,55.0,99,99,18,2,3.0,93,20,16,7,3.0,88,33,19,5,1.0,93.3,50.7,17.7,4.7,2.3,149,141,148,146.0,105,19,25,81,23,37,93,34,21,93.0,25.3,27.7,100,48,0.0,91,50,0.0,88,60,0.0,93.0,52.7,0.0
16,성북구,117,132,137,128.7,61,61,61,61.0,106,106,22,6,6.0,135,42,11,4,5.0,118,39,29,5,1.0,119.7,62.3,20.7,5.0,4.0,178,195,197,190.0,110,39,29,99,70,26,115,57,25,108.0,55.3,26.7,109,69,0.0,123,72,0.0,131,66,0.0,121.0,69.0,0.0
17,송파구,182,147,169,166.0,84,84,84,84.0,147,147,42,11,4.0,143,41,27,8,8.0,151,75,39,3,4.0,147.0,87.7,36.0,7.3,5.3,266,224,270,253.3,165,42,59,141,36,47,187,29,54,164.3,35.7,53.3,154,111,0.0,134,89,0.0,126,142,0.0,138.0,114.0,0.0
18,양천구,109,108,83,100.0,71,71,71,71.0,112,112,20,6,8.0,101,41,20,7,6.0,79,33,18,3,2.0,97.3,62.0,19.3,5.3,5.3,180,177,134,163.7,117,39,24,100,48,29,82,32,20,99.7,39.7,24.3,145,35,0.0,121,56,0.0,106,28,0.0,124.0,39.7,0.0
19,영등포구,146,146,138,143.3,58,58,58,58.0,87,87,35,7,3.0,110,52,31,13,3.0,91,54,38,5,1.0,96.0,64.3,34.7,8.3,2.3,204,212,189,201.7,114,48,42,91,70,51,97,45,47,100.7,54.3,46.7,160,44,0.0,153,59,0.0,123,66,0.0,145.3,56.3,0.0
20,용산구,88,69,73,76.7,55,55,55,55.0,85,85,22,7,4.0,70,28,12,9,5.0,61,21,14,5,4.0,72.0,44.7,16.0,7.0,4.3,143,122,105,123.3,87,23,33,60,35,27,63,15,27,70.0,24.3,29.0,100,43,0.0,98,24,0.0,70,35,0.0,89.3,34.0,0.0
21,은평구,120,103,134,119.0,87,87,87,87.0,141,141,16,3,2.0,100,46,16,5,4.0,138,45,13,7,0.0,126.3,77.3,15.0,5.0,2.0,207,172,205,194.7,145,35,27,105,39,28,124,51,30,124.7,41.7,28.3,160,47,0.0,100,72,0.0,151,54,0.0,137.0,57.7,0.0
22,종로구,107,88,81,92.0,39,39,39,39.0,83,83,19,1,2.0,71,34,13,6,0.0,80,28,5,5,0.0,78.0,48.3,12.3,4.0,0.7,146,124,119,129.7,73,30,43,47,39,38,56,24,39,58.7,31.0,40.0,99,44,0.0,71,52,0.0,67,52,0.0,79.0,49.3,0.0
23,중구,63,62,72,65.7,31,31,31,31.0,43,43,13,3,3.0,63,21,7,1,0.0,61,34,8,4,0.0,55.7,32.7,9.3,2.7,1.0,94,92,107,97.7,51,11,32,50,12,30,49,26,32,50.0,16.3,31.3,69,25,0.0,60,30,0.0,60,45,0.0,63.0,33.3,0.0
24,중랑구,109,122,111,114.0,76,76,76,76.0,127,127,14,4,0.0,106,46,17,3,0.0,108,51,13,4,0.0,113.7,74.7,14.7,3.7,0.0,185,176,180,180.3,145,27,13,122,25,29,122,39,19,129.7,30.3,20.3,144,41,0.0,137,38,0.0,132,48,0.0,137.7,42.3,0.0
